,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.768278956413269,0.5092387199401855,0.6140046288312755,0.15366972982883453,0.10719999670982361,0.8052083253860474,0.5542458295822144,0.49084704717000327,0.1818181872367859,0.08275862038135529
1,0.794650673866272,0.5177046060562134,0.5775407939998451,0.1606217622756958,0.07440000027418137,0.8208333253860474,0.568060040473938,0.47463909089565276,0.20000000298023224,0.062068965286016464
2,0.7992751002311707,0.5302536487579346,0.559861542029152,0.1666666716337204,0.07119999825954437,0.8197916746139526,0.5839518308639526,0.46131436824798583,0.15000000596046448,0.04137931019067764
3,0.8038995265960693,0.5417037606239319,0.5440176528884446,0.2018691599369049,0.08640000224113464,0.824999988079071,0.5982314348220825,0.45086175749699275,0.18918919563293457,0.04827586188912392
4,0.8007749319076538,0.5246943235397339,0.5531951470870686,0.16923077404499054,0.07039999961853027,0.8343750238418579,0.6099089980125427,0.4387020950516065,0.2083333283662796,0.03448275849223137
5,0.8052743673324585,0.5586559772491455,0.5270581720013918,0.1804979294538498,0.06960000097751617,0.831250011920929,0.6250603199005127,0.4389367252588272,0.2571428716182709,0.062068965286016464
6,0.8032745718955994,0.5441754460334778,0.5323924670663346,0.1666666716337204,0.06480000168085098,0.8374999761581421,0.6359847784042358,0.42982430557409923,0.29629629850387573,0.05517241358757019
7,0.8072741031646729,0.5553721785545349,0.5249535079224603,0.20204082131385803,0.07919999957084656,0.8354166746139526,0.6457457542419434,0.42730363756418227,0.27586206793785095,0.05517241358757019
8,0.8112735748291016,0.5633527040481567,0.5140867879179594,0.21238937973976135,0.07680000364780426,0.8302083611488342,0.6552909016609192,0.42594697227080663,0.25,0.062068965286016464
9,0.8150231242179871,0.5812870264053345,0.49889356199940166,0.2362385392189026,0.08240000158548355,0.8302083611488342,0.6639772057533264,0.42422618170579274,0.2750000059604645,0.07586207240819931
10,0.8115235567092896,0.5821801424026489,0.49814233416755443,0.2146017700433731,0.07760000228881836,0.8385416865348816,0.6695536375045776,0.41589220265547433,0.3214285671710968,0.062068965286016464
11,0.8163979649543762,0.5920405387878418,0.48891614880908685,0.2471131682395935,0.08560000360012054,0.8395833373069763,0.6765136122703552,0.41354688902695974,0.3333333432674408,0.062068965286016464
12,0.8122734427452087,0.5835146307945251,0.49653487844263916,0.21621622145175934,0.07680000364780426,0.8416666388511658,0.6794795989990234,0.4112676531076431,0.36000001430511475,0.062068965286016464
13,0.8188976645469666,0.6065673232078552,0.47828434762128097,0.251870334148407,0.08079999685287476,0.8364583253860474,0.6850476264953613,0.4167487819989522,0.3571428656578064,0.1034482792019844
14,0.8191475868225098,0.5975110530853271,0.4826218836766573,0.26378896832466125,0.08799999952316284,0.8374999761581421,0.6888343691825867,0.41409022311369575,0.3658536672592163,0.1034482792019844
15,0.8190225958824158,0.6012155413627625,0.4810872556949694,0.27802690863609314,0.09920000284910202,0.8458333611488342,0.6914914846420288,0.40899574061234795,0.4545454680919647,0.1034482792019844
16,0.8163979649543762,0.5890721082687378,0.4891471198433236,0.24593967199325562,0.08479999750852585,0.846875011920929,0.6942499876022339,0.40611156821250916,0.4642857015132904,0.08965517580509186
17,0.8246468901634216,0.593285858631134,0.4838670163895293,0.3063291013240814,0.09679999947547913,0.8500000238418579,0.6977110505104065,0.4055623749891917,0.5161290168762207,0.11034482717514038
18,0.8221472501754761,0.5986250042915344,0.4793083718417399,0.2895376980304718,0.09520000219345093,0.8489583134651184,0.7003046274185181,0.4036313593387604,0.5,0.1034482792019844
19,0.8213973045349121,0.6096188426017761,0.47289834138429204,0.2506963908672333,0.07199999690055847,0.8395833373069763,0.7044764161109924,0.41035700142383574,0.40425533056259155,0.1310344785451889
20,0.8201474547386169,0.6132750511169434,0.46813320315542734,0.26894864439964294,0.08799999952316284,0.8489583134651184,0.7060926556587219,0.4001738001902898,0.5,0.1034482792019844
21,0.8220222592353821,0.6152541041374207,0.4703431942666278,0.2661290466785431,0.07919999957084656,0.8427083492279053,0.7096805572509766,0.40662959466377896,0.4318181872367859,0.1310344785451889
22,0.8202724456787109,0.6039848923683167,0.4735325127802794,0.28037384152412415,0.09600000083446503,0.8479166626930237,0.7105309963226318,0.39954533278942106,0.48571428656578064,0.11724138259887695
23,0.8230221271514893,0.6018915772438049,0.475833422464149,0.2719780206680298,0.07919999957084656,0.840624988079071,0.7123123407363892,0.40766706466674807,0.4166666567325592,0.13793103396892548
24,0.8215222954750061,0.6196290850639343,0.4660946808530977,0.26455026865005493,0.07999999821186066,0.8447916507720947,0.7137126922607422,0.39866151760021845,0.44117647409439087,0.1034482792019844
25,0.8218972682952881,0.6108893752098083,0.47035792717679176,0.2654155492782593,0.07919999957084656,0.8427083492279053,0.715358555316925,0.40379758179187775,0.4318181872367859,0.1310344785451889
26,0.8250218629837036,0.6293249726295471,0.4574751219093062,0.2893258333206177,0.08240000158548355,0.8395833373069763,0.7174359560012817,0.4065533965826035,0.4117647111415863,0.14482758939266205
27,0.8222722411155701,0.6326324939727783,0.4559557333298995,0.2849999964237213,0.09120000153779984,0.8447916507720947,0.7182230353355408,0.39977691769599916,0.44736841320991516,0.11724138259887695
28,0.8242719769477844,0.6165208220481873,0.4650653795854939,0.2936508059501648,0.08879999816417694,0.840624988079071,0.7185149788856506,0.4029044056932131,0.4166666567325592,0.13793103396892548
29,0.8198975324630737,0.6288384795188904,0.4609102939400222,0.24533332884311676,0.07360000163316727,0.8447916507720947,0.7201353907585144,0.3963102926810583,0.44117647409439087,0.1034482792019844
30,0.8235220313072205,0.6166650056838989,0.46612586145711893,0.2750000059604645,0.07919999957084656,0.840624988079071,0.7221916317939758,0.39932729105154674,0.4047619104385376,0.11724138259887695
